Symbol,Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (),Beta,R2,Volatility_Per,Monthly Return,Avg_Impact_Cost_percent,report_date
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17431.37,0.93,0.77,0.2,1.1,-2.84,0.05,2012-11-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,27940.99,0.98,0.88,0.22,1.72,-11.78,0.04,2015-04-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,21386,1.31,0.53,0.12,1.75,9.04,0.07,2012-04-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,32925.99,1.16,0.68,0.21,1.18,4.56,0.02,2015-11-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,18973,1.04,0.5,0.06,4.64,0.27,0.06,2010-12-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,18180,1.29,0.54,0.35,2.03,-4.73,0.07,2011-12-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,15041,1.08,0.5,0.26,2.09,10.7,0.07,2009-09-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,14082,1.06,0.54,0.25,1.16,-6.38,0.07,2009-10-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,23616,1.08,0.36,0.18,2.26,10.41,0.09,2009-04-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,15518,1.06,0.6,0.28,2.24,10.2,0.07,2009-11-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,31159.32,1.2,0.83,0.26,1.62,-1.42,0.05,2014-07-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17362,0.95,0.57,0.11,1.65,9.4,0.07,2013-07-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,23625,1.183622889,0.725999755,0.228250373,1.211268684,-5.112513853,0.06,2014-01-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17387.95,0.91,0.76,0.18,1.02,-4.13,0.05,2013-01-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,18424.3,1.2,0.73,0.24,0.26,1.45,0.06,2010-06-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,16823.97,1.02,0.65,0.17,1.35,-12.07,0.04,2012-08-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,29242.6,1.04,0.73,0.21,1.88,-10.64,0.06,2015-08-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,31671.01,1.08,0.83,0.2,1.12,-1.67,0.04,2015-03-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,18565,1.08,0.34,0.15,1.3,6.03,0.06,2009-02-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,19613,1.2,0.5,0.1,1.35,5.61,0.07,2012-03-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17914,1.06,0.56,0.06,1.65,1.21,0.05,2011-06-01
